Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Usage_Hours,Final_Score,Result,Age_scaled,StudyHours_scaled,Attendance_scaled,PreviousGrade_scaled,InternetUsage_scaled,FinalScore_scaled
1,1,23,14,67.0,80.0,4,32.73,0,0.9782497489735144,-0.7984990563204039,-0.5388001637823356,0.8145089754359199,-0.4097117046319208,-1.0466281355366511
2,0,24,34,98.0,51.0,8,46.08,0,1.4686005003386842,1.1823966428123267,1.6069867166457723,-1.0104744354921247,1.1570634564844107,0.3795096995297179
3,1,18,29,77.0,88.0,7,49.32,0,-1.473504007852335,0.6871727180291441,0.15338915248479595,1.317952675002277,0.7653696662053279,0.7256285448941403
4,1,18,24,96.0,54.0,9,44.09,0,-1.473504007852335,0.19194879324596148,1.468548853392346,-0.8216830481547407,1.5487572467634936,0.1669243593213234
5,1,18,9,60.0,70.0,5,31.05,0,-1.473504007852335,-1.2937229811035864,-1.0233326851693278,0.1852043509779735,-0.018017914352837915,-1.2260971664663511
6,0,22,5,94.0,88.0,4,28.91,0,0.4878989976083445,-1.6899021209301326,1.3301109901389196,1.317952675002277,-0.4097117046319208,-1.4547065272934694
7,1,21,34,82.0,68.0,8,51.37,1,-0.0024517537568253616,1.1823966428123267,0.4994838106183618,0.05934342608638421,1.1570634564844107,0.9446234933500244
8,1,22,7,66.0,65.0,9,24.57,0,0.4878989976083445,-1.4918125510168596,-0.6080190954090489,-0.12944796125099972,1.5487572467634936,-1.9183348571951955
9,1,21,18,55.0,57.0,7,35.59,0,-0.0024517537568253616,-0.40231991649385773,-1.3694273433028936,-0.6328916608173568,0.7653696662053279,-0.7411034757396605
10,0,22,34,53.0,71.0,7,49.27,0,0.4878989976083445,1.1823966428123267,-1.50786520655632,0.24813481342376814,0.7653696662053279,0.7202872046878995
11,1,22,8,69.0,61.0,5,34.03,0,0.4878989976083445,-1.3927677660602231,-0.40036230052890937,-0.38116981103417824,-0.018017914352837915,-0.9077532901743826
12,1,23,22,97.0,77.0,4,56.95,1,0.9782497489735144,-0.006140776667311581,1.5377677850190592,0.625717588098536,-0.4097117046319208,1.5407170603665297
13,1,20,29,96.0,56.0,1,46.63,0,-0.49280250512199525,0.6871727180291441,1.468548853392346,-0.6958221232631515,-1.5847930754691695,0.4382644417983703
14,1,22,5,76.0,62.0,7,25.35,0,0.4878989976083445,-1.6899021209301326,0.08417022085808279,-0.31823934858838365,0.7653696662053279,-1.8350099499778345
15,0,23,19,64.0,63.0,1,31.86,0,0.9782497489735144,-0.3032751315372212,-0.7464569586624752,-0.255308886142589,-1.5847930754691695,-1.1395674551252457
16,1,19,13,55.0,89.0,1,47.64,0,-0.9831532564871651,-0.8975438412770403,-1.3694273433028936,1.3808831374480717,-1.5847930754691695,0.54615951396444
17,0,20,19,96.0,47.0,5,42.79,0,-0.49280250512199525,-0.3032751315372212,1.468548853392346,-1.2621962852753033,-0.018017914352837915,0.02804951395905482
18,0,22,28,63.0,80.0,9,47.48,0,0.4878989976083445,0.5881279330725077,-0.8156758902891883,0.8145089754359199,1.5487572467634936,0.529067225304468
19,0,24,8,60.0,45.0,6,25.51,0,1.4686005003386842,-1.3927677660602231,-1.0233326851693278,-1.3880572101668924,0.37367587592624496,-1.817917661317863
20,1,18,16,88.0,44.0,3,37.76,0,-1.473504007852335,-0.6004094864071308,0.9147974003786408,-1.4509876726126871,-0.8014054949110037,-0.5092893107887981
21,0,19,10,58.0,83.0,3,39.33,0,-0.9831532564871651,-1.19467819614695,-1.161770548422754,1.0033003627733037,-0.8014054949110037,-0.34157122831282816
22,1,19,28,75.0,68.0,7,51.82,1,-0.9831532564871651,0.5881279330725077,0.014951289231369626,0.05934342608638421,0.7653696662053279,0.9926955552061943
23,0,23,15,65.0,67.0,6,34.24,0,0.9782497489735144,-0.6994542713637673,-0.677238027035762,-0.0035870363594104303,0.37367587592624496,-0.88531966130817
24,0,19,17,54.0,50.0,9,27.83,0,-0.9831532564871651,-0.5013647014504943,-1.4386462749296067,-1.0734048979379194,1.5487572467634936,-1.570079475748277
25,0,20,38,59.0,40.0,6,46.28,0,-0.49280250512199525,1.5785757826388729,-1.092551616796041,-1.7027095223958657,0.37367587592624496,0.40087506035468257
26,0,22,29,99.0,82.0,5,49.9,0,0.4878989976083445,0.6871727180291441,1.6762056482724856,0.9403699003275091,-0.018017914352837915,0.7875880912865366
27,0,22,11,52.0,58.0,7,26.63,0,0.4878989976083445,-1.0956334111903134,-1.5770841381830332,-0.5699611983715622,0.7653696662053279,-1.698271640698063
28,0,24,8,62.0,48.0,1,20.36,0,1.4686005003386842,-1.3927677660602231,-0.8848948219159015,-1.1992658228295086,-1.5847930754691695,-2.3680757025606947
29,0,18,12,92.0,66.0,7,38.23,0,-1.473504007852335,-0.9965886262336769,1.1916731268854934,-0.06651749880520506,0.7653696662053279,-0.45908071285013213
30,0,23,24,98.0,73.0,3,56.99,1,0.9782497489735144,0.19194879324596148,1.6069867166457723,0.37399573831535743,-0.8014054949110037,1.5449901325315225
