Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Usage_Hours,Final_Score,Result
1,male,23,14,67,80,4,32.73,fail
2,female,24,34,98,51,8,46.08,fail
3,male,18,29,77,88,7,49.32,fail
4,male,18,24,96,54,9,44.09,fail
5,male,18,9,60,70,5,31.05,fail
6,female,22,5,94,88,4,28.91,fail
7,male,21,34,82,68,8,51.37,pass
8,male,22,7,66,65,9,24.57,fail
9,male,21,18,55,57,7,35.59,fail
10,female,22,34,53,71,7,49.27,fail
11,male,22,8,69,61,5,34.03,fail
12,male,23,22,97,77,4,56.95,pass
13,male,20,29,96,56,1,46.63,fail
14,male,22,5,76,62,7,25.35,fail
15,female,23,19,64,63,1,31.86,fail
16,male,19,13,55,89,1,47.64,fail
17,female,20,19,96,47,5,42.79,fail
18,female,22,28,63,80,9,47.48,fail
19,female,24,8,60,45,6,25.51,fail
20,male,18,16,88,44,3,37.76,fail
21,female,19,10,58,83,3,39.33,fail
22,male,19,28,75,68,7,51.82,pass
23,female,23,15,65,67,6,34.24,fail
24,female,19,17,54,50,9,27.83,fail
25,female,20,38,59,40,6,46.28,fail
26,female,22,29,99,82,5,49.9,fail
27,female,22,11,52,58,7,26.63,fail
28,female,24,8,62,48,1,20.36,fail
29,female,18,12,92,66,7,38.23,fail
30,female,23,24,98,73,3,56.99,pass
31,male,18,33,79,83,9,54.4,pass
32,male,19,14,94,43,6,34.32,fail
33,female,24,38,55,75,9,48.84,fail
34,female,18,30,66,57,5,35.08,fail
35,female,20,7,94,54,7,28.49,fail
36,male,22,10,68,90,4,36.84,fail
37,female,19,9,91,52,7,27.64,fail
38,male,24,9,84,58,1,36.73,fail
39,male,18,27,95,88,7,47.79,fail
40,male,23,13,75,45,8,30.29,fail
41,male,20,39,54,87,5,45.4,fail
42,male,20,24,78,51,2,36.28,fail
43,female,18,39,86,90,5,49.85,fail
44,female,22,22,69,76,6,49.64,fail
45,female,18,21,98,56,2,33.46,fail
46,female,19,28,70,62,6,45.18,fail
47,female,18,7,59,65,6,30.45,fail
48,male,20,36,54,68,1,57.06,pass
49,female,24,39,85,72,1,61.84,pass
50,female,18,17,55,66,3,31.96,fail
51,male,22,29,75,64,3,41.97,fail
52,female,24,13,53,94,4,38.63,fail
53,male,23,8,88,49,2,30.3,fail
54,female,21,18,88,86,9,46.48,fail
55,male,18,38,99,62,7,50.4,pass
56,female,22,15,84,60,7,45.03,fail
