Retailer,Product ID,City,Category,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Foot Locker,FUR-BO-10001798,New York,Men's Street Footwear,$50.00 ,"1,200","$6,00,000 ","$3,00,000 ",50%
Foot Locker,FUR-CH-10000454,New York,Men's Athletic Footwear,$50.00 ,"1,000","$5,00,000 ","$1,50,000 ",30%
Foot Locker,OFF-LA-10000240,New York,Women's Street Footwear,$40.00 ,"1,000","$4,00,000 ","$1,40,000 ",35%
Foot Locker,FUR-TA-10000577,New York,Women's Athletic Footwear,$45.00 ,850,"$3,82,500 ","$1,33,875 ",35%
Foot Locker,OFF-ST-10000760,New York,Men's Apparel,$60.00 ,900,"$5,40,000 ","$1,62,000 ",30%
Foot Locker,FUR-FU-10001487,New York,Women's Apparel,$50.00 ,"1,000","$5,00,000 ","$1,25,000 ",25%
Foot Locker,OFF-AR-10002833,New York,Men's Street Footwear,$50.00 ,"1,250","$6,25,000 ","$3,12,500 ",50%
Foot Locker,TEC-PH-10002275,New York,Men's Athletic Footwear,$50.00 ,900,"$4,50,000 ","$1,35,000 ",30%
Foot Locker,OFF-BI-10003910,New York,Women's Street Footwear,$40.00 ,950,"$3,80,000 ","$1,33,000 ",35%
Foot Locker,OFF-AP-10002892,New York,Women's Athletic Footwear,$45.00 ,825,"$3,71,250 ","$1,29,938 ",35%
Foot Locker,FUR-TA-10001539,New York,Men's Apparel,$60.00 ,900,"$5,40,000 ","$1,62,000 ",30%
Foot Locker,TEC-PH-10002033,New York,Women's Apparel,$50.00 ,"1,000","$5,00,000 ","$1,25,000 ",25%
Foot Locker,OFF-PA-10002365,New York,Men's Street Footwear,$50.00 ,"1,220","$6,10,000 ","$3,05,000 ",50%
Foot Locker,OFF-BI-10003656,New York,Men's Athletic Footwear,$50.00 ,925,"$4,62,500 ","$1,38,750 ",30%
Foot Locker,OFF-AP-10002311,New York,Women's Street Footwear,$40.00 ,950,"$3,80,000 ","$1,33,000 ",35%
Foot Locker,OFF-BI-10000756,New York,Women's Athletic Footwear,$45.00 ,800,"$3,60,000 ","$1,26,000 ",35%
Foot Locker,OFF-ST-10004186,New York,Men's Apparel,$60.00 ,850,"$5,10,000 ","$1,53,000 ",30%
Foot Locker,OFF-ST-10000107,New York,Women's Apparel,$50.00 ,950,"$4,75,000 ","$1,18,750 ",25%
Foot Locker,OFF-AR-10003056,New York,Men's Street Footwear,$50.00 ,"1,200","$6,00,000 ","$3,00,000 ",50%
Foot Locker,TEC-PH-10001949,New York,Men's Athletic Footwear,$50.00 ,900,"$4,50,000 ","$1,35,000 ",30%
Foot Locker,OFF-BI-10002215,New York,Women's Street Footwear,$40.00 ,900,"$3,60,000 ","$1,26,000 ",35%
Foot Locker,OFF-AR-10000246,New York,Women's Athletic Footwear,$45.00 ,825,"$3,71,250 ","$1,29,938 ",35%
Foot Locker,OFF-AP-10001492,New York,Men's Apparel,$60.00 ,825,"$4,95,000 ","$1,48,500 ",30%
Foot Locker,FUR-CH-10002774,New York,Women's Apparel,$50.00 ,950,"$4,75,000 ","$1,18,750 ",25%
Foot Locker,FUR-TA-10000577,New York,Men's Street Footwear,$60.00 ,"1,220","$7,32,000 ","$3,66,000 ",50%
Foot Locker,OFF-BI-10001634,New York,Men's Athletic Footwear,$55.00 ,925,"$5,08,750 ","$1,52,625 ",30%
Foot Locker,TEC-AC-10003027,New York,Women's Street Footwear,$50.00 ,900,"$4,50,000 ","$1,57,500 ",35%
Foot Locker,FUR-BO-10004834,New York,Women's Athletic Footwear,$50.00 ,850,"$4,25,000 ","$1,48,750 ",35%
Foot Locker,OFF-BI-10000474,New York,Men's Apparel,$60.00 ,875,"$5,25,000 ","$1,57,500 ",30%
Foot Locker,FUR-FU-10004848,New York,Women's Apparel,$65.00 ,"1,000","$6,50,000 ","$1,62,500 ",25%
Foot Locker,OFF-EN-10001509,New York,Men's Street Footwear,$60.00 ,"1,250","$7,50,000 ","$3,75,000 ",50%
Foot Locker,OFF-AR-10004042,New York,Men's Athletic Footwear,$55.00 ,"1,000","$5,50,000 ","$1,65,000 ",30%
Foot Locker,OFF-BI-10001525,New York,Women's Street Footwear,$50.00 ,925,"$4,62,500 ","$1,61,875 ",35%
Foot Locker,OFF-AR-10001683,New York,Women's Athletic Footwear,$50.00 ,900,"$4,50,000 ","$1,57,500 ",35%
Foot Locker,OFF-PA-10000249,New York,Men's Apparel,$60.00 ,900,"$5,40,000 ","$1,62,000 ",30%
Foot Locker,TEC-PH-10004977,New York,Women's Apparel,$65.00 ,"1,050","$6,82,500 ","$1,70,625 ",25%
Foot Locker,FUR-FU-10003664,New York,Men's Street Footwear,$60.00 ,"1,275","$7,65,000 ","$3,82,500 ",50%
Foot Locker,OFF-EN-10002986,New York,Men's Athletic Footwear,$55.00 ,"1,025","$5,63,750 ","$1,69,125 ",30%
Foot Locker,FUR-BO-10002545,New York,Women's Street Footwear,$50.00 ,950,"$4,75,000 ","$1,66,250 ",35%
Foot Locker,FUR-CH-10004218,New York,Women's Athletic Footwear,$50.00 ,900,"$4,50,000 ","$1,57,500 ",35%
