Age,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate
41,1102,Sales,1,Life Sciences,1,Female,94,Sales Executive,Single,5993,19479
49,279,Research & Development,8,Life Sciences,2,Male,61,Research Scientist,Married,5130,24907
37,1373,Research & Development,2,Other,4,Male,92,Laboratory Technician,Single,2090,2396
33,1392,Research & Development,3,Life Sciences,5,Female,56,Research Scientist,Married,2909,23159
27,591,Research & Development,2,Medical,7,Male,40,Laboratory Technician,Married,3468,16632
32,1005,Research & Development,2,Life Sciences,8,Male,79,Laboratory Technician,Single,3068,11864
59,1324,Research & Development,3,Medical,10,Female,81,Laboratory Technician,Married,2670,9964
30,1358,Research & Development,24,Life Sciences,11,Male,67,Laboratory Technician,Divorced,2693,13335
38,216,Research & Development,23,Life Sciences,12,Male,44,Manufacturing Director,Single,9526,8787
36,1299,Research & Development,27,Medical,13,Male,94,Healthcare Representative,Married,5237,16577
35,809,Research & Development,16,Medical,14,Male,84,Laboratory Technician,Married,2426,16479
29,153,Research & Development,15,Life Sciences,15,Female,49,Laboratory Technician,Single,4193,12682
31,670,Research & Development,26,Life Sciences,16,Male,31,Research Scientist,Divorced,2911,15170
34,1346,Research & Development,19,Medical,18,Male,93,Laboratory Technician,Divorced,2661,8758
28,103,Research & Development,24,Life Sciences,19,Male,50,Laboratory Technician,Single,2028,12947
29,1389,Research & Development,21,Life Sciences,20,Female,51,Manufacturing Director,Divorced,9980,10195
32,334,Research & Development,5,Life Sciences,21,Male,80,Research Scientist,Divorced,3298,15053
22,1123,Research & Development,16,Medical,22,Male,96,Laboratory Technician,Divorced,2935,7324
53,1219,Sales,2,Life Sciences,23,Female,78,Manager,Married,15427,22021
38,371,Research & Development,2,Life Sciences,24,Male,45,Research Scientist,Single,3944,4306
24,673,Research & Development,11,Other,26,Female,96,Manufacturing Director,Divorced,4011,8232
36,1218,Sales,9,Life Sciences,27,Male,82,Sales Representative,Single,3407,6986
34,419,Research & Development,7,Life Sciences,28,Female,53,Research Director,Single,11994,21293
21,391,Research & Development,15,Life Sciences,30,Male,96,Research Scientist,Single,1232,19281
34,699,Research & Development,6,Medical,31,Male,83,Research Scientist,Single,2960,17102
