Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Usage_Hours,Final_Score,Result,Performance_Level
1,Male,23,14,67,80,4,32.73,Fail,Poor
2,Female,24,34,98,51,8,46.08,Fail,Average
3,Male,18,29,77,88,7,49.32,Fail,Average
4,Male,18,24,96,54,9,44.09,Fail,Average
5,Male,18,9,60,70,5,31.05,Fail,Poor
6,Female,22,5,94,88,4,28.91,Fail,Poor
7,Male,21,34,82,68,8,51.37,Pass,Average
8,Male,22,7,66,65,9,24.57,Fail,Poor
9,Male,21,18,55,57,7,35.59,Fail,Poor
10,Female,22,34,53,71,7,49.27,Fail,Average
11,Male,22,8,69,61,5,34.03,Fail,Poor
12,Male,23,22,97,77,4,56.95,Pass,Average
13,Male,20,29,96,56,1,46.63,Fail,Average
14,Male,22,5,76,62,7,25.35,Fail,Poor
15,Female,23,19,64,63,1,31.86,Fail,Poor
16,Male,19,13,55,89,1,47.64,Fail,Average
17,Female,20,19,96,47,5,42.79,Fail,Average
18,Female,22,28,63,80,9,47.48,Fail,Average
19,Female,24,8,60,45,6,25.51,Fail,Poor
20,Male,18,16,88,44,3,37.76,Fail,Poor
21,Female,19,10,58,83,3,39.33,Fail,Poor
22,Male,19,28,75,68,7,51.82,Pass,Average
23,Female,23,15,65,67,6,34.24,Fail,Poor
24,Female,19,17,54,50,9,27.83,Fail,Poor
25,Female,20,38,59,40,6,46.28,Fail,Average
26,Female,22,29,99,82,5,49.9,Fail,Average
27,Female,22,11,52,58,7,26.63,Fail,Poor
28,Female,24,8,62,48,1,20.36,Fail,Poor
29,Female,18,12,92,66,7,38.23,Fail,Poor
30,Female,23,24,98,73,3,56.99,Pass,Average
31,Male,18,33,79,83,9,54.4,Pass,Average
32,Male,19,14,94,43,6,34.32,Fail,Poor
33,Female,24,38,55,75,9,48.84,Fail,Average
34,Female,18,30,66,57,5,35.08,Fail,Poor
35,Female,20,7,94,54,7,28.49,Fail,Poor
36,Male,22,10,68,90,4,36.84,Fail,Poor
37,Female,19,9,91,52,7,27.64,Fail,Poor
38,Male,24,9,84,58,1,36.73,Fail,Poor
39,Male,18,27,95,88,7,47.79,Fail,Average
40,Male,23,13,75,45,8,30.29,Fail,Poor
41,Male,20,39,54,87,5,45.4,Fail,Average
42,Male,20,24,78,51,2,36.28,Fail,Poor
43,Female,18,39,86,90,5,49.85,Fail,Average
44,Female,22,22,69,76,6,49.64,Fail,Average
45,Female,18,21,98,56,2,33.46,Fail,Poor
46,Female,19,28,70,62,6,45.18,Fail,Average
47,Female,18,7,59,65,6,30.45,Fail,Poor
48,Male,20,36,54,68,1,57.06,Pass,Average
49,Female,24,39,85,72,1,61.84,Pass,Good
50,Female,18,17,55,66,3,31.96,Fail,Poor
51,Male,22,29,75,64,3,41.97,Fail,Average
52,Female,24,13,53,94,4,38.63,Fail,Poor
53,Male,23,8,88,49,2,30.3,Fail,Poor
54,Female,21,18,88,86,9,46.48,Fail,Average
55,Male,18,38,99,62,7,50.4,Pass,Average
56,Female,22,15,84,60,7,45.03,Fail,Average
57,Female,24,7,50,60,6,22.79,Fail,Poor
58,Male,22,32,73,82,3,61.55,Pass,Good
59,Male,23,33,85,52,6,47.66,Fail,Average
60,Male,20,13,55,76,8,32.94,Fail,Poor
61,Male,22,7,90,72,8,36.19,Fail,Poor
62,Male,24,29,95,63,9,45.42,Fail,Average
63,Male,22,38,93,83,1,64.41,Pass,Good
64,Male,22,16,80,50,1,39.95,Fail,Poor
65,Male,22,13,69,56,3,37.49,Fail,Poor
66,Female,19,19,73,43,3,42.09,Fail,Average
67,Female,19,29,74,86,8,53.65,Pass,Average
68,Male,20,9,85,64,1,32.67,Fail,Poor
69,Female,18,15,70,69,2,34.1,Fail,Poor
70,Female,22,38,79,48,2,45.75,Fail,Average
71,Female,23,28,73,60,3,40.35,Fail,Average
72,Female,18,19,93,59,6,35.88,Fail,Poor
73,Male,23,12,91,58,1,37.74,Fail,Poor
74,Female,18,9,79,58,2,34.31,Fail,Poor
75,Male,20,30,71,51,1,44.24,Fail,Average
76,Female,22,22,77,76,5,52.19,Pass,Average
77,Female,22,10,56,81,7,31.15,Fail,Poor
78,Female,21,17,84,56,8,40.96,Fail,Average
79,Male,23,32,77,76,1,52.06,Pass,Average
80,Female,18,9,63,93,7,35.89,Fail,Poor
81,Male,18,17,59,87,5,40.35,Fail,Average
82,Female,19,21,65,78,1,32.24,Fail,Poor
83,Male,21,36,65,67,3,48.64,Fail,Average
84,Female,24,33,80,80,7,47.67,Fail,Average
85,Male,24,7,91,74,1,34.12,Fail,Poor
86,Male,19,38,74,86,7,54.32,Pass,Average
87,Female,19,31,62,87,5,56.44,Pass,Average
88,Male,19,17,55,57,1,39.12,Fail,Poor
89,Female,23,37,93,53,1,42.64,Fail,Average
90,Female,23,10,58,74,1,33.62,Fail,Poor
91,Female,20,28,94,83,9,50.98,Pass,Average
92,Female,20,23,85,80,3,37.78,Fail,Poor
93,Female,19,20,92,46,5,37.8,Fail,Poor
94,Female,21,32,69,80,9,55.48,Pass,Average
95,Female,18,37,67,52,6,47.72,Fail,Average
96,Female,23,17,92,57,9,38.54,Fail,Poor
97,Female,21,29,70,76,8,43.94,Fail,Average
98,Female,22,31,53,52,8,42.76,Fail,Average
99,Female,23,11,99,75,1,36.53,Fail,Poor
100,Male,23,9,82,70,9,45.04,Fail,Average
101,Male,20,35,76,41,6,43.86,Fail,Average
102,Female,18,27,56,55,9,36.9,Fail,Poor
103,Female,18,14,55,48,3,32.06,Fail,Poor
104,Female,24,36,64,48,3,49.05,Fail,Average
105,Female,24,34,67,77,6,52.41,Pass,Average
106,Female,24,35,81,50,9,49.35,Fail,Average
107,Female,24,22,60,93,7,41.55,Fail,Average
108,Female,22,6,69,61,3,29.32,Fail,Poor
109,Female,22,18,73,72,3,41.42,Fail,Average
110,Male,23,17,64,75,2,44.11,Fail,Average
111,Female,19,33,97,84,9,60.43,Pass,Good
112,Male,20,16,56,62,3,37.0,Fail,Poor
113,Female,20,6,70,84,5,45.08,Fail,Average
114,Female,24,36,91,84,9,51.01,Pass,Average
115,Male,23,17,75,73,8,42.84,Fail,Average
116,Female,21,31,93,48,2,51.88,Pass,Average
117,Male,19,21,63,63,3,42.65,Fail,Average
118,Female,23,35,86,47,2,54.6,Pass,Average
119,Female,19,38,70,46,8,43.71,Fail,Average
120,Male,19,28,67,75,6,50.08,Pass,Average
121,Female,19,39,54,57,6,51.31,Pass,Average
